,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|p_Elusimicrobia|c_Elusimicrobia|o_Elusimicrobiales|f_Elusimicrobiaceae|g_Elusimicrobium|s_Elusimicrobium_minutum,species,k_Bacteria,p_Elusimicrobia,c_Elusimicrobia,o_Elusimicrobiales,f_Elusimicrobiaceae,g_Elusimicrobium,s_Elusimicrobium_minutum
k_Bacteria|p_Elusimicrobia|c_Endomicrobia,class,k_Bacteria,p_Elusimicrobia,c_Endomicrobia,,,,
k_Bacteria|p_Elusimicrobia|c_Endomicrobia|o_Endomicrobiales,order,k_Bacteria,p_Elusimicrobia,c_Endomicrobia,o_Endomicrobiales,,,
k_Bacteria|p_Elusimicrobia|c_Endomicrobia|o_Endomicrobiales|f_Endomicrobiaceae,family,k_Bacteria,p_Elusimicrobia,c_Endomicrobia,o_Endomicrobiales,f_Endomicrobiaceae,,
k_Bacteria|p_Elusimicrobia|c_Endomicrobia|o_Endomicrobiales|f_Endomicrobiaceae|g_Endomicrobium,genus,k_Bacteria,p_Elusimicrobia,c_Endomicrobia,o_Endomicrobiales,f_Endomicrobiaceae,g_Endomicrobium,
k_Bacteria|p_Elusimicrobia|c_Endomicrobia|o_Endomicrobiales|f_Endomicrobiaceae|g_Endomicrobium|s_Candidatus_Endomicrobium_trichonymphae,species,k_Bacteria,p_Elusimicrobia,c_Endomicrobia,o_Endomicrobiales,f_Endomicrobiaceae,g_Endomicrobium,s_Candidatus_Endomicrobium_trichonymphae
k_Bacteria|p_Elusimicrobia|c_Endomicrobia|o_Endomicrobiales|f_Endomicrobiaceae|g_Endomicrobium|s_Endomicrobium_proavitum,species,k_Bacteria,p_Elusimicrobia,c_Endomicrobia,o_Endomicrobiales,f_Endomicrobiaceae,g_Endomicrobium,s_Endomicrobium_proavitum
k_Bacteria|p_Thermodesulfobacteria,phylum,k_Bacteria,p_Thermodesulfobacteria,,,,,
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria,class,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,,,,
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales,order,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,,,
