,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._PAMC25564,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._PAMC25564
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._QXT-31,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._QXT-31
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._NEB_688,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._NEB_688
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._KBS0702,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._KBS0702
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._FB24,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._FB24
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._24S4-2,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._24S4-2
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._UKPF54-2,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._UKPF54-2
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._ERGS1:01,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._ERGS1:01
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._PGP41,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._PGP41
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._PAMC_25486,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._PAMC_25486
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._YC-RL1,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._YC-RL1
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter_sp._U41,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Arthrobacter,s_Arthrobacter_sp._U41
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Rothia,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia_amarae,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Rothia,s_Rothia_amarae
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia_terrae,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Rothia,s_Rothia_terrae
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia_aeria,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Rothia,s_Rothia_aeria
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia_dentocariosa,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Rothia,s_Rothia_dentocariosa
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia_nasimurium,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Rothia,s_Rothia_nasimurium
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia_mucilaginosa,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Rothia,s_Rothia_mucilaginosa
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae,family,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Lysinimonas,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Lysinimonas,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Lysinimonas|s_Lysinimonas_sp._KACC_19322,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Lysinimonas,s_Lysinimonas_sp._KACC_19322
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Diaminobutyricimonas,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Diaminobutyricimonas,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Diaminobutyricimonas|s_Diaminobutyricimonas_sp._LJ205,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Diaminobutyricimonas,s_Diaminobutyricimonas_sp._LJ205
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Pontimonas,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Pontimonas,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Pontimonas|s_Pontimonas_salivibrio,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Pontimonas,s_Pontimonas_salivibrio
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Frigoribacterium,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Frigoribacterium,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Frigoribacterium|s_Frigoribacterium_sp._NBH87,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Frigoribacterium,s_Frigoribacterium_sp._NBH87
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Marisediminicola,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Marisediminicola,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Marisediminicola|s_Marisediminicola_antarctica,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Marisediminicola,s_Marisediminicola_antarctica
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Cnuibacter,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Cnuibacter,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Cnuibacter|s_Cnuibacter_physcomitrellae,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Cnuibacter,s_Cnuibacter_physcomitrellae
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microterricola,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Microterricola,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microterricola|s_Microterricola_viridarii,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Microterricola,s_Microterricola_viridarii
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Glaciihabitans,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Glaciihabitans,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Glaciihabitans|s_Glaciihabitans_sp._INWT7,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Glaciihabitans,s_Glaciihabitans_sp._INWT7
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Herbiconiux,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Herbiconiux,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Herbiconiux|s_Herbiconiux_sp._SALV-R1,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Herbiconiux,s_Herbiconiux_sp._SALV-R1
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microcella,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Microcella,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microcella|s_Microcella_alkaliphila,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Microcella,s_Microcella_alkaliphila
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Frondihabitans,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Frondihabitans,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Frondihabitans|s_Frondihabitans_sp._762G35,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Frondihabitans,s_Frondihabitans_sp._762G35
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Frondihabitans|s_Frondihabitans_sp._PAMC_28766,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Frondihabitans,s_Frondihabitans_sp._PAMC_28766
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Plantibacter,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Plantibacter,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Plantibacter|s_Plantibacter_flavus,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Plantibacter,s_Plantibacter_flavus
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Plantibacter|s_Plantibacter_sp._M259,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Plantibacter,s_Plantibacter_sp._M259
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Plantibacter|s_Plantibacter_sp._PA-3-X8,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Plantibacter,s_Plantibacter_sp._PA-3-X8
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Mycetocola,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Mycetocola,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Mycetocola|s_Mycetocola_zhujimingii,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Mycetocola,s_Mycetocola_zhujimingii
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Mycetocola|s_Mycetocola_sp._JXN-3,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Mycetocola,s_Mycetocola_sp._JXN-3
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Chryseoglobus,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Chryseoglobus,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Chryseoglobus|s_Chryseoglobus_indicus,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Chryseoglobus,s_Chryseoglobus_indicus
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Chryseoglobus|s_Chryseoglobus_sp._28M-23,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Chryseoglobus,s_Chryseoglobus_sp._28M-23
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agrococcus,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agrococcus,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agrococcus|s_Agrococcus_sp._SGAir0287,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agrococcus,s_Agrococcus_sp._SGAir0287
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agrococcus|s_Agrococcus_jejuensis,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agrococcus,s_Agrococcus_jejuensis
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agrococcus|s_Agrococcus_carbonis,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agrococcus,s_Agrococcus_carbonis
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Clavibacter,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Clavibacter,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Clavibacter|s_Clavibacter_sp._DM1,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Clavibacter,s_Clavibacter_sp._DM1
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Clavibacter|s_Clavibacter_michiganensis,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Clavibacter,s_Clavibacter_michiganensis
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Humibacter,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Humibacter,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Humibacter|s_Humibacter_sp._BT305,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Humibacter,s_Humibacter_sp._BT305
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Humibacter|s_Humibacter_sp._WJ7-1,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Humibacter,s_Humibacter_sp._WJ7-1
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Protaetiibacter,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Protaetiibacter,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Protaetiibacter|s_Protaetiibacter_sp._SSC-01,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Protaetiibacter,s_Protaetiibacter_sp._SSC-01
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Protaetiibacter|s_Protaetiibacter_intestinalis,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Protaetiibacter,s_Protaetiibacter_intestinalis
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Gryllotalpicola,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Gryllotalpicola,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Gryllotalpicola|s_Gryllotalpicola_protaetiae,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Gryllotalpicola,s_Gryllotalpicola_protaetiae
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Aurantimicrobium,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Aurantimicrobium,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Aurantimicrobium|s_Aurantimicrobium_minutum,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Aurantimicrobium,s_Aurantimicrobium_minutum
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Aurantimicrobium|s_Aurantimicrobium_sp._MWH-Uga1,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Aurantimicrobium,s_Aurantimicrobium_sp._MWH-Uga1
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Aurantimicrobium|s_Aurantimicrobium_sp._MWH-Mo1,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Aurantimicrobium,s_Aurantimicrobium_sp._MWH-Mo1
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Candidatus_Aquiluna,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Candidatus_Aquiluna,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Candidatus_Aquiluna|s_Candidatus_Aquiluna_sp._UB-MaderosW2red,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Candidatus_Aquiluna,s_Candidatus_Aquiluna_sp._UB-MaderosW2red
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Candidatus_Aquiluna|s_Candidatus_Aquiluna_sp._15G-AUS-rot,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Candidatus_Aquiluna,s_Candidatus_Aquiluna_sp._15G-AUS-rot
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Rhodoluna,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Rhodoluna,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Rhodoluna|s_Rhodoluna_lacicola,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Rhodoluna,s_Rhodoluna_lacicola
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Rhodoluna|s_Rhodoluna_limnophila,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Rhodoluna,s_Rhodoluna_limnophila
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Rhodoluna|s_Candidatus_Rhodoluna_planktonica,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Rhodoluna,s_Candidatus_Rhodoluna_planktonica
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Leifsonia,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia|s_Leifsonia_shinshuensis,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Leifsonia,s_Leifsonia_shinshuensis
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia|s_Leifsonia_sp._PS1209,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Leifsonia,s_Leifsonia_sp._PS1209
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia|s_Leifsonia_sp._21MFCrub1.1,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Leifsonia,s_Leifsonia_sp._21MFCrub1.1
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia|s_Leifsonia_xyli,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Leifsonia,s_Leifsonia_xyli
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces|s_Agromyces_flavus,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,s_Agromyces_flavus
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces|s_Agromyces_protaetiae,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,s_Agromyces_protaetiae
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces|s_Agromyces_aureus,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,s_Agromyces_aureus
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces|s_Agromyces_sp._LHK192,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,s_Agromyces_sp._LHK192
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces|s_Agromyces_sp._MF30-A,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,s_Agromyces_sp._MF30-A
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces|s_Agromyces_sp._HY052,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,s_Agromyces_sp._HY052
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Agromyces|s_Agromyces_sp._KACC_19306,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Agromyces,s_Agromyces_sp._KACC_19306
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Cryobacterium,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Cryobacterium,
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Cryobacterium|s_Cryobacterium_soli,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Cryobacterium,s_Cryobacterium_soli
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Cryobacterium|s_Cryobacterium_sp._LW097,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Cryobacterium,s_Cryobacterium_sp._LW097
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Cryobacterium|s_Cryobacterium_arcticum,species,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Cryobacterium,s_Cryobacterium_arcticum
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Rathayibacter,genus,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Rathayibacter,
