Classification	MFVF11801	MFVF11802	MFVF11803	MFVF11804	MFVF11806	MFVF11807	MFVF11808	MFVF11809	MFVF11815	MFVF11817	MFVF11818	MFVF11819	MFVF11821	MFVF11822	MFVF11823	MFVF11824	MFVF11825	MFVF11829	MFVF11836	MFVF11837	MFVF11838	MFVF11839	MFVF11841	MFVF11842	MFVF11844	MFVF11845
group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_catenulatum	0.00033832	0.004634352	0.00298637	0.001285333	0.00184375	0.000165945	0.001048879	0.000881991	0.008094736	0.005201018	0.001526753	0.000217468	0.000205209	0.000203051	0.000972107	0.005800993	0.000652059	0.000733228	0.00044765	0.000497591	0.000981419	0.035702247	0.000526304	0.005862456	0.000501807	0.000362194
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_longum	0.007216607	0.005650297	0.026781103	0.000737828	0.004667486	0.000704921	0.003850169	0.001683826	0.002010719	0.001459279	0.008100812	0.002326478	0.000563765	0.001580423	0.006497851	0.009039874	0.000815442	0.001444422	0.001845984	0.003627474	0.001976424	0.004872658	0.002227673	0.001418914	0.000871258	0.001720965
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_pseudocatenulatum	0.000148392	0.000539142	0.021634952	0.000337005	0.000468297	0.000176069	0.004515463	0.002186994	0.001050642	0.000423992	0.000285047	0.000132024	6.33E-05	0.000248727	0.000444237	0.001574491	0.000113029	0.004300924	0.000873547	0.001988687	0.009323044	0.003211256	0.001848822	0.000983125	0.000235775	0.000157049
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_pullorum	3.22E-05	3.38E-05	0.00011242	9.87E-05	2.68E-05	3.45E-05	4.69E-05	4.49E-05	5.66E-05	5.55E-05	3.44E-05	4.89E-05	2.07E-05	4.89E-05	7.11E-05	0.000143603	2.18E-05	2.94E-05	2.33E-05	0.000153715	8.66E-05	3.72E-05	2.27E-05	1.55E-05	9.70E-06	2.28E-05
k_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Blattabacteriaceae|g_Blattabacterium|s_Blattabacterium_cuenoti	4.86E-05	2.14E-05	7.30E-05	0.00012299	3.20E-05	3.33E-05	1.82E-05	6.63E-05	4.97E-05	0.000152623	3.27E-05	5.83E-05	4.13E-05	2.93E-05	4.21E-05	0.000206244	5.08E-05	4.39E-05	4.84E-05	8.31E-05	5.95E-05	2.30E-05	2.63E-05	7.53E-05	2.58E-05	2.66E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia_argi	0.000211158	0.000178057	0.000237108	0.000678317	0.000727385	0.001144127	0.00043477	0.000262631	0.000695694	0.000545373	0.00033758	0.000514915	0.000256511	0.00037339	0.000469819	0.001065155	0.000249494	0.000282322	0.0003773	0.000967962	0.000529987	0.000453179	0.000408353	0.000548968	0.000296212	0.000247597
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia_coccoides	0.000232081	8.53E-05	0.000201335	0.000691806	0.000317616	0.000574135	0.00029184	0.000121447	0.000630677	0.000362168	0.000129772	0	0	0.000168245	0.000128155	0.000474044	0	7.84E-05	0.000211851	0.000866476	0.00031502	0.000253197	0.000120643	0.000376863	0	0.000370778
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia_hansenii	0.000528601	0.000321787	0.000532511	0.001186941	0.001570013	0.001411867	0.000807501	0.000513541	0.001183599	0.000785208	0.000572418	0.000717781	0.000411815	0.000642761	0.000815829	0.001480711	0.000366674	0.000733295	0.000437771	0.001682706	0.001000439	0.000925835	0.000651617	0.000998264	0.000458361	0.000421503
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia_producta	0.000328498	0.000514134	0.000490605	0.001254388	0.000724874	0.001790328	0.000680033	0.000419374	0.001155337	0.00062066	0.000492243	0.000582387	0.000690273	0.000439012	0.001086815	0.001333497	0.000580278	0.000475567	0.000406338	0.001736232	0.001885482	0.000623588	0.000683866	0.000598617	0.000393036	0.000344177
k_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas_diminuta	0.000149185	0.000212022	7.56E-05	0.000181595	0.00013638	0.001208922	6.84E-05	6.13E-06	1.13E-05	2.58E-05	9.42E-06	5.38E-05	1.92E-05	2.82E-05	6.00E-05	2.53E-05	2.99E-05	0.000323558	0.000200774	0.000442083	7.33E-05	7.69E-05	2.87E-05	0.000294559	0.000120564	0.000411992
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Burkholderia|s_Burkholderia_pseudomallei	4.71E-06	1.21E-05	1.04E-05	5.69E-05	5.52E-05	5.26E-05	2.62E-05	3.27E-05	0.000123699	2.65E-05	1.21E-05	3.38E-05	3.11E-05	1.53E-05	9.43E-05	0.000215721	0.000151598	2.45E-05	1.26E-05	3.96E-05	6.09E-05	4.34E-05	3.16E-05	4.08E-05	2.37E-05	1.24E-05
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Odoribacteraceae|g_Butyricimonas|s_Butyricimonas_faecalis	0.005900941	0.003443507	0.002103497	0.025466924	0.00220678	0.002431834	0.001155858	0.004891368	0.00249563	0.001699992	0.003920572	0.0036405	0.003819008	0.005474884	0.009773219	0.004154204	0.005654393	0.00180194	0.004608922	0.004217249	0.005113514	0.002675768	0.004268227	0.006258244	0.005177815	0.005630097
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Butyrivibrio|s_Butyrivibrio_fibrisolvens	9.29E-05	4.75E-05	8.99E-05	0.000527328	0.000377819	0.000749283	0.000208283	0.00015223	0.000413699	0.000305538	0.000290245	0.000233195	0.000240925	0.00024394	0.000222201	0.000541649	0.000121734	0.000198366	0.000215443	0.00061425	0.000320534	0.000270089	0.000272876	0.000344209	0.000154002	0.000181252
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Butyrivibrio|s_Butyrivibrio_hungatei	6.90E-05	3.46E-05	9.38E-05	0.000524154	0.000366657	0.00070759	0.000200514	0.000127981	0.000451359	0.000249786	0.000281133	0.000201593	0.000226177	0.000204945	0.000188092	0.000485778	9.27E-05	0.00016973	0.000169939	0.000616918	0.000233188	0.00027387	0.000279963	0.000289215	0.000133055	0.000175916
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Butyrivibrio|s_Butyrivibrio_proteoclasticus	6.90E-05	4.43E-05	0.00010712	0.000550339	0.000373494	0.000575147	0.000198114	0.000147313	0.000411472	0.000276857	0.000258016	0.000209531	0.00019801	0.000225191	0.000193011	0.000521972	9.15E-05	0.000150257	0.000174131	0.000526413	0.000255004	0.000275162	0.000260845	0.00032469	0.000152839	0.00018218
k_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter_coli	4.77E-05	0.000156363	0.000187056	0.000394362	0.000103175	0.000112011	0.000131772	0.000309377	0.000131147	0.000308684	0.000148364	0.000155238	6.88E-05	9.28E-05	0.000194979	0.000380986	0.000206104	7.22E-05	0.000395361	0.000513756	0.000534143	0.000441264	0.000308201	0.000141454	0.003194714	0.000507722
k_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter_concisus	8.41E-06	6.78E-06	9.08E-06	2.21E-05	1.72E-05	2.95E-05	8.15E-06	2.95E-05	3.43E-05	2.91E-05	1.84E-05	1.42E-05	0.0001646	6.13E-05	3.66E-05	4.83E-05	2.53E-05	1.58E-05	3.68E-05	1.87E-05	0.000243497	4.39E-05	1.19E-05	9.22E-05	4.48E-05	6.52E-05
k_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter_jejuni	0.00017046	0.000125142	8.07E-05	0.000199845	6.82E-05	9.03E-05	5.19E-05	0.000116193	7.94E-05	8.22E-05	3.85E-05	6.41E-05	3.94E-05	3.11E-05	8.54E-05	0.000118692	0.000105931	5.19E-05	0.000146888	0.000167439	0.00066616	0.000253771	0.00018525	0.000476979	0.000405914	0.00010091
k_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter_rectus	3.88E-06	1.19E-06	6.38E-07	8.39E-06	1.12E-05	1.14E-05	3.92E-06	4.58E-06	5.92E-06	8.63E-06	4.16E-06	4.19E-06	8.74E-06	7.38E-06	9.92E-06	2.36E-05	4.69E-06	8.02E-06	2.89E-06	5.34E-06	4.60E-05	1.87E-06	2.53E-06	3.41E-06	4.97E-06	1.42E-05
k_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter_showae	3.30E-06	1.71E-06	1.86E-06	1.41E-05	1.53E-05	2.05E-05	4.49E-06	2.22E-06	1.10E-05	1.23E-05	3.12E-06	8.24E-06	1.19E-05	8.98E-06	2.04E-05	1.91E-05	7.50E-06	1.17E-05	4.59E-06	8.01E-06	6.58E-05	6.03E-06	9.12E-06	4.68E-06	2.08E-05	2.70E-05
k_Bacteria|p_Candidatus_Saccharibacteria|c_Candidatus_Saccharimonia|o_Candidatus_Nanosynbacterales|f_Candidatus_Nanosynbacteraceae|g_Candidatus_Nanosynbacter|s_Candidatus_Nanosynbacter_lyticus	8.19E-06	4.76E-06	1.67E-06	2.26E-05	4.19E-06	5.98E-06	3.50E-06	5.46E-06	8.84E-06	1.19E-05	3.55E-06	1.02E-05	7.48E-06	8.68E-06	1.26E-05	2.80E-05	3.35E-06	7.01E-06	8.28E-06	1.31E-05	9.03E-06	4.74E-06	2.53E-06	2.89E-06	1.71E-06	1.14E-05
k_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga_endodontalis	3.00E-06	2.07E-06	0	1.84E-05	3.84E-06	7.46E-06	4.53E-06	8.22E-06	1.62E-05	5.85E-06	2.62E-05	7.94E-06	2.71E-05	2.35E-05	9.18E-06	1.11E-05	1.54E-05	3.64E-06	3.80E-05	3.20E-06	7.35E-06	1.10E-05	9.78E-06	2.84E-05	1.17E-05	1.63E-05
k_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga_gingivalis	1.02E-05	5.38E-06	3.04E-06	4.13E-05	3.28E-05	2.02E-05	1.52E-06	2.51E-05	1.96E-05	4.02E-06	2.32E-05	1.68E-05	4.20E-05	2.90E-05	2.23E-05	3.11E-05	2.01E-05	9.77E-06	6.05E-05	2.10E-05	3.00E-05	9.14E-06	2.72E-05	7.79E-05	4.62E-05	2.40E-05
k_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga_leadbetteri	8.37E-07	5.70E-07	2.11E-06	3.29E-06	2.30E-06	3.50E-06	2.06E-06	1.55E-06	9.19E-06	9.51E-07	1.83E-07	6.07E-06	1.54E-05	6.98E-06	1.63E-05	3.88E-06	1.38E-05	4.78E-06	8.68E-06	4.65E-06	4.32E-06	1.82E-06	2.75E-06	1.57E-05	4.27E-06	3.25E-06
k_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga_sputigena	4.93E-06	3.21E-06	2.65E-06	2.73E-05	1.85E-05	1.86E-05	1.17E-05	4.40E-05	3.82E-05	2.14E-05	4.64E-05	1.60E-05	2.36E-05	5.75E-05	1.62E-05	2.15E-05	3.44E-05	1.11E-05	6.94E-05	1.62E-05	1.69E-05	2.08E-05	3.19E-05	5.90E-05	6.28E-05	1.83E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenella|s_Christensenella_minuta	0.000185656	0.000248317	0.000306837	0.002582343	0.000245694	0.00253731	0.000573054	0.000322377	0.000410567	0.000889615	0.000288044	0.000262999	0.000170471	0.000179913	0.000515653	0.000930578	0.000182802	0.000213796	0.000312138	0.000542653	0.000491868	0.000222522	0.000161133	0.000153847	0.000102565	0.00013416
k_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium_shandongense	0.002652651	4.92E-06	1.43E-05	1.03E-05	9.21E-06	1.90E-05	1.33E-05	4.38E-06	7.52E-06	6.51E-06	2.51E-06	4.12E-06	1.30E-05	1.33E-05	7.30E-06	4.98E-05	4.15E-06	8.69E-06	1.09E-05	1.28E-05	6.55E-06	5.69E-06	4.94E-06	1.57E-05	2.51E-05	7.50E-06
k_Bacteria|p_Synergistetes|c_Synergistia|o_Synergistales|f_Synergistaceae|g_Cloacibacillus|s_Cloacibacillus_porcorum	2.37E-05	3.59E-05	3.07E-05	0.00010202	7.05E-05	0.0001341	2.54E-05	3.35E-05	0.000101772	7.93E-05	2.16E-05	5.23E-05	4.00E-05	5.06E-05	0.00013906	0.000158857	3.54E-05	4.63E-05	8.95E-05	8.97E-05	0.000123067	7.29E-05	5.06E-05	2.42E-05	9.47E-06	9.55E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae|g_Clostridioides|s_Clostridioides_difficile	0.001693012	0.001651131	0.002193148	0.004839696	0.002751883	0.003414251	0.00230966	0.00180817	0.003498379	0.006876574	0.001950501	0.002015927	0.001520544	0.001644948	0.002948217	0.006167177	0.001675212	0.001643125	0.001506205	0.005017237	0.00516346	0.002047825	0.001770096	0.001041012	0.000528341	0.000977863
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Clostridium|s_Clostridium_beijerinckii	6.54E-05	1.39E-05	0.000233427	9.23E-05	7.73E-05	0.000155176	5.29E-05	8.44E-05	7.09E-05	0.000304733	5.66E-05	6.18E-05	6.61E-05	5.73E-05	7.95E-05	0.00064301	5.73E-05	6.96E-05	6.42E-05	0.00010057	9.49E-05	6.56E-05	6.07E-05	9.97E-05	4.42E-05	6.75E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Clostridium|s_Clostridium_botulinum	0.000116283	2.17E-05	0.000450318	0.000210387	0.000142589	0.000158674	0.00011391	7.04E-05	0.000172984	0.000409359	7.77E-05	9.69E-05	8.04E-05	9.67E-05	0.000133894	0.000390373	7.54E-05	0.00012344	0.000137309	0.000229429	0.00022192	0.000147774	8.56E-05	0.000126165	7.56E-05	9.28E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Clostridium|s_Clostridium_butyricum	3.45E-05	7.71E-06	0.000127141	0.000102133	6.89E-05	0.000102531	4.14E-05	3.24E-05	9.84E-05	0.00011882	4.47E-05	3.69E-05	5.44E-05	3.80E-05	3.47E-05	0.000161114	2.79E-05	5.13E-05	5.45E-05	8.78E-05	8.89E-05	5.24E-05	5.01E-05	6.81E-05	5.33E-05	4.69E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnoclostridium|s_Clostridium_hylemonae	7.66E-05	0.003603236	0.00012454	0.000333717	0.000355845	0.000534282	0.000151309	0.000134919	0.000518534	0.000293319	0.000204382	0.000205337	0.000134476	0.000178018	0.000197931	0.0004448	0.000107136	0.000193852	0.000185906	0.0004783	0.000451033	0.000222618	0.000210027	0.000215446	0.000154623	0.000127124
k_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium|s_Clostridium_innocuum	0.000264367	0.00712684	0.000725554	0.000964085	0.00141417	0.003074445	0.000474149	0.000522095	0.000809091	0.001316168	0.000375863	0.001616186	0.000311937	0.000542133	0.005730234	0.001493618	0.000282572	0.000381437	0.000316429	0.001149202	0.001450672	0.000443034	0.0004684	0.000591196	0.000219095	0.000304355
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Clostridium|s_Clostridium_perfringens	9.44E-05	3.37E-05	0.000249375	0.00015371	0.000184305	9.76E-05	5.82E-05	5.48E-05	0.000146253	0.00031483	4.38E-05	5.17E-05	0.000148245	6.89E-05	4.92E-05	0.000265905	5.71E-05	6.88E-05	6.81E-05	0.000126342	0.000118592	0.000112792	5.54E-05	9.22E-05	3.94E-05	8.03E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnoclostridium|s_Clostridium_scindens	0.000298855	0.000558713	0.000520636	0.001600914	0.000987868	0.002059172	0.000697247	0.000448405	0.001415334	0.001251344	0.000614371	0.000757171	0.000468569	0.000504235	0.001289583	0.001833717	0.000551485	0.000605745	0.000649722	0.001810954	0.001790065	0.000774807	0.000654913	0.000691089	0.000415069	0.000465502
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_Collinsella_aerofaciens	0.007178771	0.011066464	0.005916113	0.005586139	0.01518635	0.007423252	0.010902998	0.003552215	0.023990936	0.044575725	0.006842288	0.004884504	0.001984151	0.022552469	0.02732592	0.022780655	0.021731287	0.018067573	0.008136439	0.005929233	0.014598783	0.007503538	0.004666417	0.002800647	0.017510647	0.007784473
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Comamonas|s_Comamonas_kerstersii	9.16E-06	7.92E-06	6.33E-06	5.23E-05	3.14E-05	3.96E-06	5.41E-06	4.72E-06	0.000607288	5.88E-05	4.22E-06	8.39E-06	4.19E-06	0.000535351	1.32E-05	2.40E-05	6.09E-05	1.25E-05	1.25E-05	5.18E-05	2.25E-05	5.17E-06	0.000499659	7.72E-06	3.18E-06	3.71E-06
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium_matruchotii	8.77E-06	1.13E-05	3.34E-06	1.73E-05	4.53E-06	1.25E-05	2.02E-06	8.96E-06	9.40E-06	1.85E-05	4.28E-06	1.64E-05	6.92E-06	4.19E-06	1.03E-05	2.94E-05	3.35E-06	6.67E-06	8.98E-06	2.32E-05	1.70E-05	2.58E-06	3.85E-06	7.79E-06	2.48E-06	2.71E-06
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Delftia|s_Delftia_acidovorans	5.38E-05	0.00019856	8.38E-05	0.000245754	0.000185003	0.001174868	0.000105341	2.82E-05	2.42E-05	1.33E-05	3.33E-05	7.62E-05	3.28E-05	4.95E-05	0.000103147	2.56E-05	5.73E-05	0.000291553	0.00024997	0.000470981	7.95E-05	8.44E-05	5.38E-05	0.000361798	0.00014221	0.000399697
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Delftia|s_Delftia_tsuruhatensis	0.000397343	0.001347414	0.000618728	0.001494247	0.001422471	0.008108293	0.000859296	0.000107908	9.19E-05	5.96E-05	0.000159066	0.000490352	0.000290759	0.00026249	0.000692512	4.91E-05	0.000304535	0.001920528	0.001895479	0.003664149	0.000707875	0.000659	0.000330671	0.002475215	0.001041707	0.002789995
k_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio_desulfuricans	9.02E-05	6.29E-05	0.000102704	0.000211747	0.000149356	6.64E-05	6.45E-05	0.000101172	0.000202012	0.000262078	6.15E-05	6.82E-05	3.07E-05	0.00010342	0.00016005	0.000134306	0.000105797	5.32E-05	8.19E-05	0.000206631	0.000239261	4.96E-05	0.000113831	6.46E-05	1.53E-05	0.000102921
k_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio_fairfieldensis	5.44E-05	3.01E-05	7.00E-05	0.000115622	8.13E-05	5.03E-05	4.28E-05	5.93E-05	7.80E-05	0.000139087	3.79E-05	5.77E-05	2.82E-05	3.98E-05	0.000103803	9.07E-05	0.000103387	3.59E-05	5.56E-05	0.00022981	0.000543253	1.39E-05	6.89E-05	6.28E-05	1.19E-05	9.74E-05
k_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio_piger	4.96E-05	7.57E-05	0.000134992	0.000336098	0.000125637	6.20E-05	5.54E-05	0.001895264	0.000155929	0.00023347	0.001506144	0.00223991	0.001504748	6.57E-05	0.003940576	0.009175715	0.00285532	0.003689115	9.03E-05	0.007768704	0.00022184	4.39E-05	0.002368094	0.000379312	0.000311108	0.000167874
k_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio_vulgaris	8.94E-05	7.24E-05	0.000171697	0.000235665	0.000197629	7.86E-05	8.88E-05	0.000142194	0.000208346	0.000377166	0.000101029	9.04E-05	4.41E-05	9.69E-05	0.00021064	0.000159579	0.000175704	5.01E-05	0.000129825	0.000283793	0.000224318	3.85E-05	0.00012383	4.73E-05	1.73E-05	0.000111736
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Dialister|s_Dialister_hominis	0.002204214	0.000336646	1.41E-05	2.95E-05	0.000784937	2.04E-05	5.18E-06	2.16E-05	0.000839928	0.046764754	7.89E-06	0.000855121	1.82E-05	1.96E-05	0.00146595	0.001726127	3.07E-05	1.34E-05	3.93E-05	2.01E-05	0.001096255	2.70E-05	1.55E-05	0.000633795	3.42E-05	0.00089582
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Dialister|s_Dialister_massiliensis	0.001375922	5.57E-05	1.89E-05	6.50E-05	0.000446183	8.03E-05	8.80E-06	1.39E-05	0.000676064	0.051172808	1.74E-05	0.000155163	4.08E-05	1.51E-05	0.000794921	0.000848351	9.37E-06	1.87E-05	2.07E-05	4.50E-05	0.000800495	2.45E-05	2.02E-05	0.000431263	1.80E-05	0.000762356
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Dialister|s_Dialister_pneumosintes	0.000259125	4.23E-05	1.79E-05	2.35E-05	0.000141124	5.57E-05	1.33E-05	1.49E-05	0.000533152	2.69E-05	8.68E-06	8.42E-05	4.77E-05	1.39E-05	0.000232368	0.00028152	0.002151166	1.04E-05	3.87E-05	1.59E-05	0.000189156	5.15E-05	2.46E-05	0.000137223	6.47E-05	0.000194475
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_Duncaniella|s_Duncaniella_dubosii	0.000183233	7.57E-05	8.18E-05	0.000306626	0.000393236	0.000273998	0.000214529	0.000285196	0.000210017	0.00016689	0.000240892	0.000171039	0.0002902	0.000377478	0.000506552	0.000571525	0.000199809	9.71E-05	0.000385183	0.000324814	0.000260758	0.000143036	0.000210302	0.000395491	0.000319487	0.000207388
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Oscillospiraceae|g_Dysosmobacter|s_Dysosmobacter_welbionis	0.002476906	0.005030488	0.013929981	0.007347791	0.003796744	0.007507743	0.003833183	0.006494364	0.008215372	0.006838016	0.001808681	0.004308108	0.002930236	0.00386903	0.007908948	0.015349661	0.003305427	0.006407488	0.003694662	0.016761257	0.021195733	0.006907658	0.004203236	0.002338363	0.000858146	0.002761152
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella|s_Eggerthella_lenta	4.23E-05	0.001416949	0.000374848	0.000462489	0.000145868	0.000657797	5.91E-05	7.60E-05	0.000177926	0.000174572	5.71E-05	0.00010851	5.93E-05	5.43E-05	0.000218593	0.000559249	7.50E-05	0.000156726	9.19E-05	0.000196261	0.000391737	9.67E-05	6.44E-05	3.81E-05	4.95E-05	6.19E-05
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Eikenella|s_Eikenella_corrodens	2.33E-06	5.13E-06	4.66E-06	9.86E-06	1.10E-05	5.52E-06	4.42E-06	6.53E-06	1.11E-05	6.07E-06	7.03E-06	5.39E-06	1.04E-05	9.47E-06	1.34E-05	2.55E-05	0.000628221	5.79E-06	1.41E-05	1.61E-05	1.17E-05	6.84E-06	6.48E-06	1.17E-05	8.53E-06	6.42E-06
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter_cloacae	0.000102584	3.60E-05	3.57E-05	0.0001044	7.68E-05	7.17E-05	1.99E-05	0.000111074	9.23E-05	0.000124527	5.36E-05	4.61E-05	8.17E-05	4.83E-05	6.59E-05	0.000215179	4.94E-05	4.04E-05	0.000113759	6.52E-05	0.000171575	4.49E-05	5.33E-05	4.82E-05	4.99E-05	3.84E-05
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter_hormaechei	0.000176758	3.17E-05	2.02E-05	5.27E-05	1.96E-05	0.000134744	1.21E-05	3.44E-05	5.35E-05	6.86E-05	9.30E-06	3.47E-05	4.79E-05	2.22E-05	5.60E-05	8.86E-05	4.91E-05	2.31E-05	0.000324312	5.07E-05	0.000109002	2.81E-05	5.36E-05	3.29E-05	3.54E-05	2.44E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Enterocloster|s_Enterocloster_bolteae	0.003087609	0.01566509	0.003729491	0.01461442	0.001254071	0.004788566	0.001311851	0.002635466	0.003414846	0.003285189	0.001680071	0.003945211	0.002634514	0.001303772	0.035062109	0.00821851	0.001953633	0.002988566	0.003547973	0.005427678	0.006426974	0.003645102	0.003892728	0.00174264	0.000845888	0.003538509
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Enterocloster|s_Enterocloster_clostridioformis	0.000498782	0.000870559	0.001458517	0.002101037	0.000903668	0.00119484	0.001270911	0.001327904	0.002017958	0.002254145	0.000629782	0.001770526	0.000587599	0.000877426	0.002243078	0.003441784	0.000581617	0.002205006	0.00056101	0.005401982	0.003145081	0.001894931	0.000957895	0.001546119	0.000622681	0.00039212
