Classification	MFVF11801	MFVF11802	MFVF11803	MFVF11804	MFVF11806	MFVF11807	MFVF11808	MFVF11809	MFVF11815	MFVF11817	MFVF11818	MFVF11819	MFVF11821	MFVF11822	MFVF11823	MFVF11824	MFVF11825	MFVF11829	MFVF11836	MFVF11837	MFVF11838	MFVF11839	MFVF11841	MFVF11842	MFVF11844	MFVF11845
group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter_aphrophilus	5.29E-06	2.17E-06	3.93E-06	2.11E-05	1.66E-05	1.21E-05	2.93E-06	2.32E-05	1.69E-05	6.80E-06	1.24E-05	8.91E-06	0.000103094	3.58E-05	1.95E-05	1.37E-05	0.000405377	1.21E-05	2.36E-05	1.35E-05	1.01E-05	1.70E-05	1.23E-05	1.87E-05	4.82E-05	1.99E-05
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter_segnis	1.06E-06	6.16E-06	7.36E-07	3.85E-06	5.51E-06	6.17E-06	9.90E-07	7.79E-05	3.28E-05	1.46E-06	6.12E-06	5.99E-06	3.22E-05	2.45E-05	5.99E-06	1.37E-05	0.001779134	4.45E-06	2.13E-05	4.57E-06	6.31E-06	3.08E-05	1.59E-06	3.37E-05	3.80E-05	1.81E-05
k_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Akkermansiaceae|g_Akkermansia|s_Akkermansia_muciniphila	6.24E-05	0.094505761	0.128454881	0.003135515	0.000436975	0.000205337	0.003999497	8.26E-05	0.000727437	0.00442715	0.000181327	0.00025903	8.44E-05	0.00033619	0.000210558	0.001924879	0.000280162	0.000203352	0.000129425	0.000296603	0.000466536	0.000571858	0.000689909	0.000173069	7.48E-05	9.16E-05
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_communis	0.003178212	0.002551876	0.007055574	0.001373977	0.009371456	0.000175793	0.005089241	0.000580158	0.000959938	0.005455267	0.00035984	0.000592721	0.000254274	0.005707155	0.000407586	0.00059075	0.000798836	0.000445246	0.000280904	0.002040917	0.000326207	0.018715777	0.004925613	0.000276747	0.00019163	0.000429777
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_dispar	0.000894979	0.000287874	0.002685765	0.0007622	0.000164284	0.000115508	0.001835548	0.000378218	0.000361839	0.001504129	0.000187626	0.000451337	0.000162713	0.000193377	0.000250652	0.000710615	0.00019847	0.000102956	0.000187402	0.000491186	0.000284892	0.000612055	0.000262603	0.000170249	8.91E-05	0.000126969
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_finegoldii	0.002225709	0.000961633	0.055481737	0.006329636	0.000907435	0.000283478	0.004060051	0.00232555	0.001275694	0.011420203	0.002338229	0.002664962	0.000570055	0.002177707	0.000659386	0.002916292	0.000360112	0.000442349	0.001422981	0.003497472	0.000967195	0.002248812	0.001816353	0.001134968	0.001215649	0.000555509
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_indistinctus	0.001036808	0.00036999	0.031029266	0.004092913	0.002271657	0.001455953	0.000374978	0.003681408	0.002421703	0.0010268	0.012481765	0.002541176	0.009898527	0.009305817	0.001371986	0.001371316	0.001460805	0.001068712	0.008868885	0.002332716	0.004356652	0.003723344	0.003549531	0.005915817	0.007725409	0.005272542
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_megaguti	0.00079376	0.000543284	0.001773597	0.002872645	0.002647173	0.001829444	0.001375833	0.002933864	0.002478228	0.00075565	0.005942993	0.004343154	0.00687002	0.006774367	0.001607142	0.002213981	0.001647223	0.001538417	0.006736409	0.001926545	0.003090021	0.003191779	0.003626224	0.009264467	0.008753151	0.003824924
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_onderdonkii	0.003475966	0.00275173	0.128172874	0.002974778	0.000251275	0.000274918	0.024639809	0.001238318	0.004727643	0.092261921	0.009514611	0.000804573	0.000363658	0.001029713	0.00038758	0.000827772	0.000343506	0.000156523	0.000287091	0.009470319	0.000326847	0.045693247	0.000439777	0.000285134	0.000205828	0.000136016
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_shahii	0.001187976	0.002959662	0.046251956	0.005037274	0.001510787	0.000291577	0.003972496	0.005459671	0.004809645	0.010904096	0.001677135	0.00627109	0.000910439	0.004362694	0.000900527	0.00340911	0.00072451	0.000582095	0.000983513	0.003165872	0.001414951	0.009843848	0.00584291	0.000374191	0.000469145	0.000468363
