,PWY-7003: glycerol degradation to butanol,GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation,ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),P124-PWY: Bifidobacterium shunt,P163-PWY: L-lysine fermentation to acetate and butanoate,P441-PWY: superpathway of N-acetylneuraminate degradation,PWY-2942: L-lysine biosynthesis III,PWY-4981: L-proline biosynthesis II (from arginine),PWY-5097: L-lysine biosynthesis VI,PWY-5695: urate biosynthesis/inosine 5-phosphate degradation,PWY-5973: cis-vaccenate biosynthesis,PWY-6123: inosine-5-phosphate biosynthesis I,PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,PWY-6305: putrescine biosynthesis IV,PWY-6897: thiamin salvage II,PWY-6936: seleno-amino acid biosynthesis,PWY-7111: pyruvate fermentation to isobutanol (engineered),PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II,PWY-7456: mannan degradation,PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),PWY-7663: gondoate biosynthesis (anaerobic),PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),VALSYN-PWY: L-valine biosynthesis,Alistipes_indistinctus,Alistipes_megaguti,Bacteroides_helcogenes,Ornithobacterium_rhinotracheale,Prevotella_copri,Prevotella_fusca,Prevotella_melaninogenica,Prevotella_oris,Prevotella_ruminicola,Prevotella_scopos,Streptococcus_koreensis,Streptococcus_salivarius,Collinsella_aerofaciens,Dialister_pneumosintes,Enterobacter_hormaechei,Gordonibacter_urolithinfaciens,Salmonella_enterica,neg-M137T250,neg-M183T217,neg-M203T223,neg-M403T461,neg-M435T566,neg-M438T310,neg-M453T299,neg-M556T278,neg-M595T305,pos-M270T340,pos-M290T279,pos-M302T610,pos-M305T281,pos-M332T281,pos-M332T300,pos-M341T781,pos-M351T578,pos-M355T300,pos-M527T524,pos-M547T352_2,pos-M562T663,pos-M598T306,pos-M809T572,GM_CSF,IFNg,IL_12,IL_17A,IL_1b,IL_21,IL_7,MIP_1a,TFNa
FV1818,1.22E-05,0.000216488,0.000256241,0.000632247,0,0,2.95E-05,0.000746157,4.41E-05,0.00078414,0.00045772,0.000479648,0.000286722,5.53E-05,0.000163696,0.000349181,3.67E-05,0.000632247,0.000124755,9.47E-05,9.47E-05,9.12E-05,2.48E-05,0.000431808,0.000160167,0.000632247,0.012481765,5.94E-03,3.78E-04,6.70E-05,0.558354504,0.001171561,1.74E-03,1.27E-03,1.97E-03,1.74E-03,1.87E-05,6.06E-04,6.84E-03,8.68E-06,9.30E-06,0.0000246,0.000220772,1.82E+03,2.56E+04,1.02E+04,2.97E+03,18271.15837,1.32E+03,14850.75599,29808.66794,5961.681397,3702.769827,6103.847444,686.1434158,6.46E+03,8.42E+03,1.87E+04,6.29E+03,1323.759,9.17E+03,38.33101923,5.72E+03,2548.691828,7.84E+03,1372991.506,52.56,163.08,4.81E+00,10.16,1.77,50.53,9.92E+00,3.64E+00,1.02E+01
FV1819,1.79E-05,0.000183405,0.000211645,0.000483383,0,0,6.64E-05,0.000587776,5.07E-05,0.00061038,0.000419431,0.000336815,0.000279091,1.89E-05,0.000143218,0.000287972,3.02E-05,0.000483383,9.63E-05,6.91E-05,6.91E-05,0.000107834,1.79E-05,0.000302348,0.000130759,0.000483383,0.002541176,4.34E-03,6.48E-04,2.30E-05,0.328061545,0.000684157,1.26E-03,7.45E-04,0.000846135,7.35E-04,2.12E-05,0.000254462,4.88E-03,8.42E-05,3.47E-05,0.000069,0.000202941,1.30E+03,3.97E+04,1.16E+04,2.80E+03,5.09E+03,2.17E+03,3.38E+03,4.10E+04,3.39E+03,3205.52165,9822.664043,1230.21407,5.17E+03,12083.00458,1.78E+04,1.86E+03,2901.401498,9.08E+03,1359.082239,4.83E+03,3226.270709,3.57E+03,542680.4503,32.92,115.85,3.09E+00,5.64,1.57E+00,40.86,7.58E+00,3.64E+00,7.74E+00
FV1821,1.09E-06,0.000143586,0.000163117,0.00051923,0,0,4.67E-05,0.000708196,8.01E-05,0.000749434,0.000470284,0.000337997,0.00019117,7.72E-05,0.000121179,0.000307909,6.26E-05,0.00051923,0.000127988,9.61E-05,9.61E-05,0.00012843,5.53E-05,0.000294118,0.00016787,0.00051923,0.009898527,6.87E-03,3.58E-04,1.78E-04,0.57366495,1.71E-03,3.15E-03,1.81E-03,2.36E-03,1.60E-03,6.56E-05,2.80E-03,1.98E-03,4.77E-05,4.79E-05,4.50E-05,0.000297399,1.71E+03,1.09E+04,27299.32278,2933.771482,1.14E+04,1.65E+03,11689.54468,33282.16264,14274.73533,716.0751604,17040.06847,3324.052641,1.31E+04,18651.04965,5.42E+04,4.85E+03,2462.106957,2.34E+04,4205.723392,1.24E+04,3.51E+03,1.99E+04,552754.2728,80.65,153.03,7.87,11.16,1.97E+00,82.08,1.15E+01,1.93E+01,7.47E+00
FV1822,1.07E-05,0.000163409,0.000192135,0.00050046,0,0,5.11E-05,0.000553584,9.39E-05,0.000597545,0.00039531,0.000294528,0.000207863,6.98E-05,0.000131354,0.000255003,3.58E-05,0.00050046,0.000143863,0.000119415,0.000119415,7.78E-05,3.28E-05,0.000259513,0.000165551,0.00050046,0.009305817,6.77E-03,4.68E-04,1.49E-04,4.47E-01,2.39E-03,4.16E-03,2.68E-03,0.003260776,3.28E-03,1.65E-05,2.66E-03,2.26E-02,1.39E-05,2.22E-05,9.11E-05,0.000166051,2.43E+03,7.03E+03,4072.874714,9.55E+03,4.73E+03,6.71E+02,10877.78926,2.19E+04,3994.642318,5339.525952,8.68E+03,2.29E+03,8.48E+03,8.95E+03,2.60E+04,2936.924705,3303.442963,1.68E+04,1503.235162,4988.368867,2857.608576,2.34E+03,316921.3422,84.19,185.51,4.62E+00,15.31,2.57E+00,85.65,1.03E+01,2.63E+01,1.41E+01
FV1823,2.34E-05,0.000137459,0.000134104,0.000438147,0,0,5.46E-05,0.000425082,0.000168034,0.000445535,0.0003124,0.000178641,0.000165106,5.85E-05,0.000117187,0.000168541,7.25E-05,0.000438147,0.000202041,0.000159568,0.000159568,6.31E-05,5.02E-05,0.00015602,0.000245711,0.000438147,0.001371986,1.61E-03,1.89E-04,2.30E-05,0.033234898,4.39E-04,7.53E-04,4.11E-04,0.000700875,3.92E-04,5.33E-06,3.25E-05,2.73E-02,2.32E-04,5.60E-05,0.000182106,0.000392254,1.66E+03,1.95E+04,6.93E+04,3.48E+03,4215.893279,4.52E+02,4.58E+03,2.63E+04,4547.339353,3115.980705,7391.470568,2462.223469,6.38E+03,7.69E+03,1.95E+04,7.23E+03,8088.274765,1.11E+04,103.2237708,4.42E+03,2488.726521,6.63E+03,3.12E+05,22.25,68.4,1.45E+00,4.7,0.75,25.17,6.82E+00,3.64E+00,3.38E+00
FV1824,2.03E-05,0.000137215,0.000136566,0.000519485,7.64E-06,0,7.17E-05,0.000453825,0.000161955,0.000477483,0.000268963,0.000239192,0.000200263,5.45E-05,0.000161054,0.000187748,8.47E-05,0.000519485,0.000146907,0.000106636,0.000106636,5.67E-05,4.69E-05,0.000209575,0.000197411,0.000519485,0.001371316,2.21E-03,0.000258414,4.20E-05,0.068066583,5.15E-04,0.000894023,0.000611149,0.000851601,0.000553653,1.75E-05,0.0000755,2.28E-02,0.00028152,0.0000886,3.20E-04,0.000392269,2.40E+03,1.33E+04,4.53E+04,3.15E+03,3.76E+03,5.76E+02,4512.158185,30725.5704,40614.69793,2173.982273,5881.82825,1.47E+03,5.38E+03,7.53E+03,2.46E+04,9.71E+03,3192.519666,1.54E+04,393.1478336,2.74E+03,3122.946755,4.53E+04,2.45E+05,160.34,120.43,4.11E+00,8.89,1.81,33.03,7.83E+00,1.11E+01,9.22E+00
FV1825,2.27E-05,0.000113439,0.000124458,0.000434474,3.50E-06,3.83E-07,0.000144595,0.000497146,0.000126607,0.000493844,0.000448735,0.000308568,0.000248662,0.000235555,9.61E-05,0.000326471,6.24E-05,0.000434474,0.000169411,0.000159009,0.000159009,4.13E-05,0.000192438,0.000280847,0.000225851,0.000434474,1.46E-03,1.65E-03,0.000275207,2.00E-05,5.30E-02,6.81E-04,1.13E-03,6.47E-04,0.000965969,6.78E-04,9.11E-06,6.65E-04,2.17E-02,2.15E-03,0.0000491,0.000103521,0.000472606,1.73E+03,1.28E+04,5133.278233,2.46E+03,9.35E+03,3.57E+02,11241.12622,2.45E+04,10527.2096,6.57E+02,20242.60028,4.45E+03,1.60E+04,21289.81007,5.47E+04,4852.272115,4300.641987,2.27E+04,1883.086072,4.82E+03,1.19E+03,1.21E+04,172675.7097,18.58,87.75,2.39E+00,3.57,1.75,21.26,6.82E+00,3.64E+00,7.63E+00
FV1829,4.27E-05,0.000134733,0.000149005,0.000489209,0,0,9.88E-05,0.000433513,0.000105414,0.000444823,0.000370714,0.000273878,0.000294438,7.42E-05,0.000121386,0.000246342,6.53E-05,0.000489209,0.000116638,8.72E-05,8.72E-05,2.54E-05,6.97E-05,0.000265069,0.000149375,0.000489209,1.07E-03,1.54E-03,0.000269048,8.46E-05,0.038701442,3.51E-04,6.23E-04,3.47E-04,5.45E-04,2.17E-04,1.93E-05,1.60E-04,1.81E-02,1.04E-05,2.31E-05,0.0000718,0.000441136,1.83E+03,1.01E+04,1.45E+04,6.84E+03,5.79E+03,5.73E+02,5233.747765,5.90E+04,2.92E+04,592.3795867,2.34E+04,5.48E+03,2.18E+04,2.21E+04,8.70E+04,12107.50545,2563.378405,1.30E+04,6.23E+03,1.08E+04,2299.729509,34815.70993,509160.6754,113.21,323.78,7.43E+00,26.93,5.43,164.67,2.00E+01,4.52E+01,2.28E+01
FV1836,5.56E-06,0.000147306,0.000173283,0.0005214,0,0,4.05E-05,0.000676993,6.19E-05,0.000715345,0.00052626,0.00028011,0.000219435,4.65E-05,0.000127187,0.000279921,3.06E-05,0.0005214,0.000141438,0.000133197,0.000133197,7.38E-05,3.88E-05,0.000242893,0.000186472,0.0005214,0.008868885,6.74E-03,7.22E-04,1.67E-04,0.456811175,3.77E-03,7.43E-03,4.10E-03,0.00554344,3.43E-03,1.19E-05,1.36E-03,8.14E-03,3.87E-05,3.24E-04,5.08E-05,0.000324212,1.51E+03,3.34E+04,2.42E+03,3.35E+03,3.31E+03,3.46E+03,2.67E+04,4.09E+04,8.72E+03,1368.071256,1.49E+04,2.67E+03,5.42E+03,6.28E+03,1.55E+04,2.82E+03,3643.058035,5.21E+04,2900.671413,1.84E+04,2957.740628,9.18E+03,533385.2987,15.08,73.28,1.92E+00,4.32,0.75,12.69,4.32E+00,3.64E+00,5.41E+00
FV1837,8.86E-07,0.000130377,0.00012781,0.000508046,0,0,5.58E-05,0.000439156,0.000111495,0.000452992,0.00031023,0.000297102,0.000195458,5.05E-05,0.000122435,0.000213994,1.90E-05,0.000508046,0.000208855,0.000167274,0.000167274,6.37E-05,4.36E-05,0.000267961,0.000249698,0.000508046,0.002332716,1.93E-03,4.73E-04,6.45E-05,8.59E-02,5.43E-04,7.97E-04,6.22E-04,0.0008282,5.48E-04,1.09E-05,0.00016195,5.93E-03,1.59E-05,5.07E-05,0.000061,0.000259623,2406.287168,5195.42676,29180.69354,3414.847492,5.96E+03,2.30E+03,9528.4787,37259.83242,9812.885936,590.4325558,20581.33655,2140.062121,1.82E+04,2.29E+04,7.15E+04,1653.368134,2748.57858,1.22E+04,4704.502659,4.74E+03,2887.770869,1.23E+04,451710.3859,48.49,182.74,6.22,13.65,2.83,8.03E+01,1.24E+01,2.30E+01,1.33E+01
