group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
g_Atopobium	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_bacterium	0.0026	0.0007	0.0011	0.002	0.0058	0.0053	0.001	0.0006	0.0107	0.0097	0.0007	0.0025	0.017	0.0032	0.0319	0.0341	0.0031	0.0028	0.0124	0.0179	0.024	0.0066	0.0023	0.0502	0.0029	0.0059
g_Bacteroides	0.0643	0.2595	0.2041	0.055	0.0448	0.1525	0.373	0.0052	0.0135	0.0407	0.0171	0.1031	0.0146	0.0128	0.1976	0.0366	0.1358	0.2392	0.0051	0.0953	0.0068	0.0477	0.015	0.0076	0.0118	0.0138
g_Barnesiella	0.0082	0.0026	0.0003	0.0062	0.0005	0.0002	0.0001	0.0004	0.0014	0.0253	0.0001	0.0044	0.0002	0	0.0007	0.0006	0.0002	0.0003	0.0002	0.0005	0.0002	0.0029	0	0.0003	0.0001	0.0006
g_Bifidobacterium	0.0222	0.0228	0.0386	0.0206	0.0074	0.0033	0.0227	0.0063	0.0234	0.0077	0.0151	0.0053	0.0019	0.0024	0.0231	0.0052	0.0052	0.0259	0.0037	0.0017	0.0043	0.0451	0.0216	0.0181	0.0109	0.013
g_Bilophila	0.0026	0.002	0.0047	0.0048	0.0021	0.0004	0.0025	0.0017	0.0013	0.0073	0.0013	0.0015	0.0003	0.0022	0.0016	0.0007	0.003	0.0006	0.0011	0.0048	0.0019	0.0002	0.0024	0.0007	0.0005	0.0015
g_Blautia	0.0035	0.0053	0.0066	0.0072	0.0067	0.0144	0.0027	0.0018	0.0038	0.0092	0.0044	0.0055	0.0006	0.0012	0.0059	0.0032	0.0031	0.0049	0.0025	0.005	0.007	0.0057	0.0119	0.0054	0.0058	0.0029
g_Brachyspira	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.00E-04	0.00E+00
g_Brevundimonas	4.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	1.00E-04	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	2.00E-04
g_Burkholderia-Caballeronia-Paraburkholderia	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00
